src,src_community,dst,dst_community,weight
express,0,vary,0,0.04
express,0,utils-merge,1,0.04
express,0,type-is,2,0.04
form-data,2,mime-types,2,0.3333333333333333
request,2,mime-types,2,0.047619047619047616
accepts,23,mime-types,2,0.5
type-is,2,mime-types,2,0.5
mime-types,2,mime-db,2,1
type-is,2,media-typer,2,0.5
express,0,serve-static,3,0.04
express,0,send,0,0.04
serve-static,3,send,0,0.3333333333333333
http-errors,0,statuses,0,0.5
send,0,statuses,0,0.08333333333333333
express,0,range-parser,4,0.04
send,0,range-parser,4,0.08333333333333333
finalhandler,17,on-finished,5,0.25
express,0,on-finished,5,0.04
send,0,on-finished,5,0.08333333333333333
on-finished,5,ee-first,5,1
mongoose,48,ms,6,0.08333333333333333
debug,6,ms,6,1
send,0,ms,6,0.08333333333333333
send,0,mime,7,0.08333333333333333
send,0,http-errors,0,0.08333333333333333
chokidar,0,inherits,0,0.1111111111111111
fstream-ignore,0,inherits,0,0.3333333333333333
block-stream,0,inherits,0,1
fstream,0,inherits,0,0.25
tar,0,inherits,0,0.3333333333333333
des.js,0,inherits,0,0.5
browserify-des,0,inherits,0,0.3333333333333333
browserify-sign,0,inherits,0,0.14285714285714285
hash.js,0,inherits,0,1
elliptic,0,inherits,0,0.25
crypto-browserify,0,inherits,0,0.1
asn1.js,0,inherits,0,0.3333333333333333
browserify-aes,0,inherits,0,0.2
cipher-base,0,inherits,0,1
create-hash,0,inherits,0,0.25
create-hmac,0,inherits,0,0.5
stream-http,26,inherits,0,0.25
browserify,0,inherits,0,0.02127659574468085
labeled-stream-splicer,0,inherits,0,0.3333333333333333
stream-splicer,0,inherits,0,0.5
concat-stream,0,inherits,0,0.3333333333333333
module-deps,0,inherits,0,0.07142857142857142
sha.js,0,inherits,0,1
stream-browserify,0,inherits,0,0.5
util,0,inherits,0,1
duplexify,0,inherits,0,0.3333333333333333
glob,0,inherits,0,0.2
readable-stream,0,inherits,0,0.16666666666666666
http-errors,0,inherits,0,0.5
express,0,fresh,0,0.04
send,0,fresh,0,0.08333333333333333
express,0,etag,8,0.04
send,0,etag,8,0.08333333333333333
express,0,escape-html,3,0.04
finalhandler,17,escape-html,3,0.25
serve-static,3,escape-html,3,0.3333333333333333
send,0,escape-html,3,0.08333333333333333
send,0,destroy,9,0.08333333333333333
express,0,depd,10,0.04
send,0,depd,10,0.08333333333333333
mquery,48,debug,6,0.25
engine.io,157,debug,6,0.2
socket.io-client,157,debug,6,0.09090909090909091
engine.io-client,160,debug,6,0.08333333333333333
socket.io-adapter,157,debug,6,0.5
socket.io-parser,157,debug,6,0.2
socket.io,157,debug,6,0.16666666666666666
tar-pack,0,debug,6,0.125
pm2,6,debug,6,0.041666666666666664
pmx,6,debug,6,0.5
pm2-axon,135,debug,6,0.2
pm2-axon-rpc,6,debug,6,0.3333333333333333
express,0,debug,6,0.04
finalhandler,17,debug,6,0.25
send,0,debug,6,0.08333333333333333
express,0,parseurl,11,0.04
serve-static,3,parseurl,11,0.3333333333333333
request,2,qs,12,0.047619047619047616
express,0,qs,12,0.04
express,0,proxy-addr,13,0.04
proxy-addr,13,ipaddr.js,13,0.5
proxy-addr,13,forwarded,14,0.5
express,0,path-to-regexp,0,0.04
socket.io-parser,157,isarray,0,0.2
has-binary,0,isarray,0,1
buffer,128,isarray,0,0.3333333333333333
browserify,0,isarray,0,0.02127659574468085
labeled-stream-splicer,0,isarray,0,0.3333333333333333
isobject,0,isarray,0,1
readable-stream,0,isarray,0,0.16666666666666666
path-to-regexp,0,isarray,0,1
express,0,methods,15,0.04
express,0,merge-descriptors,16,0.04
express,0,finalhandler,17,0.04
finalhandler,17,unpipe,17,0.25
express,0,cookie-signature,18,0.04
express,0,cookie,19,0.04
express,0,content-type,20,0.04
express,0,content-disposition,21,0.04
express,0,array-flatten,22,0.04
engine.io,157,accepts,23,0.2
express,0,accepts,23,0.04
accepts,23,negotiator,23,0.5
gulp,0,vinyl-fs,0,0.07692307692307693
gulp-util,0,vinyl,0,0.05555555555555555
gulp-sourcemaps,0,vinyl,0,0.2
vinyl-fs,0,vinyl,0,0.058823529411764705
gulp-util,0,replace-ext,0,0.05555555555555555
vinyl,0,replace-ext,0,0.3333333333333333
vinyl,0,clone-stats,0,0.3333333333333333
vinyl,0,clone,24,0.3333333333333333
vinyl-fs,0,vali-date,25,0.058823529411764705
unique-stream,35,through2-filter,26,0.5
vinyl-fs,0,through2-filter,26,0.058823529411764705
stream-http,26,xtend,26,0.25
insert-module-globals,26,xtend,26,0.125
module-deps,0,xtend,26,0.07142857142857142
browserify,0,xtend,26,0.02127659574468085
is-my-json-valid,93,xtend,26,0.25
through2,26,xtend,26,0.5
through2-filter,26,xtend,26,0.5
browser-pack,26,through2,26,0.2
deps-sort,26,through2,26,0.25
insert-module-globals,26,through2,26,0.125
module-deps,0,through2,26,0.07142857142857142
browserify,0,through2,26,0.02127659574468085
gulp-util,0,through2,26,0.05555555555555555
glob-stream,0,through2,26,0.125
gulp-sourcemaps,0,through2,26,0.2
vinyl-fs,0,through2,26,0.058823529411764705
through2-filter,26,through2,26,0.5
mongodb,48,readable-stream,0,0.3333333333333333
readdirp,0,readable-stream,0,0.3333333333333333
are-we-there-yet,146,readable-stream,0,0.5
tar-pack,0,readable-stream,0,0.125
stream-splicer,0,readable-stream,0,0.5
concat-stream,0,readable-stream,0,0.3333333333333333
module-deps,0,readable-stream,0,0.07142857142857142
stream-combiner2,0,readable-stream,0,0.5
read-only-stream,0,readable-stream,0,1
browserify,0,readable-stream,0,0.02127659574468085
stream-browserify,0,readable-stream,0,0.5
bl,0,readable-stream,0,1
duplexer2,0,readable-stream,0,1
duplexify,0,readable-stream,0,0.3333333333333333
ordered-read-streams,0,readable-stream,0,0.5
lazystream,0,readable-stream,0,1
merge-stream,0,readable-stream,0,1
vinyl-fs,0,readable-stream,0,0.058823529411764705
first-chunk-stream,0,readable-stream,0,1
through2,26,readable-stream,0,0.5
underscore.string,27,util-deprecate,27,0.5
readable-stream,0,util-deprecate,27,0.16666666666666666
browserify,0,string_decoder,0,0.02127659574468085
readable-stream,0,string_decoder,0,0.16666666666666666
readable-stream,0,process-nextick-args,28,0.16666666666666666
verror,29,core-util-is,29,0.5
readable-stream,0,core-util-is,29,0.16666666666666666
vinyl-fs,0,strip-bom-stream,30,0.058823529411764705
load-json-file,67,strip-bom,30,0.2
gulp-sourcemaps,0,strip-bom,30,0.2
vinyl-fs,0,strip-bom,30,0.058823529411764705
strip-bom-stream,30,strip-bom,30,0.5
strip-bom,30,is-utf8,30,1
strip-bom-stream,30,first-chunk-stream,0,0.5
meow,64,object-assign,31,0.1
gulp-util,0,object-assign,31,0.05555555555555555
vinyl-fs,0,object-assign,31,0.058823529411764705
node-pre-gyp,0,mkdirp,32,0.1111111111111111
fstream,0,mkdirp,32,0.25
pm2,6,mkdirp,32,0.041666666666666664
vinyl-fs,0,mkdirp,32,0.058823529411764705
rc,143,minimist,32,0.25
subarg,32,minimist,32,1
meow,64,minimist,32,0.1
gulp-util,0,minimist,32,0.05555555555555555
gulp,0,minimist,32,0.07692307692307693
mkdirp,32,minimist,32,1
vinyl-fs,0,merge-stream,0,0.058823529411764705
vinyl-fs,0,lodash.isequal,0,0.058823529411764705
lodash.template,0,lodash.keys,0,0.16666666666666666
lodash.isequal,0,lodash.keys,0,0.3333333333333333
lodash.isequal,0,lodash._stack,0,0.3333333333333333
lodash.isequal,0,lodash._root,33,0.3333333333333333
vinyl-fs,0,lazystream,0,0.058823529411764705
vinyl-fs,0,is-valid-glob,34,0.058823529411764705
vinyl-fs,0,gulp-sourcemaps,0,0.058823529411764705
readdirp,0,graceful-fs,0,0.3333333333333333
fstream,0,graceful-fs,0,0.25
load-json-file,67,graceful-fs,0,0.2
path-type,67,graceful-fs,0,0.3333333333333333
vinyl-fs,0,graceful-fs,0,0.058823529411764705
gulp-sourcemaps,0,graceful-fs,0,0.2
combine-source-map,116,convert-source-map,0,0.25
gulp-sourcemaps,0,convert-source-map,0,0.2
vinyl-fs,0,glob-stream,0,0.058823529411764705
glob-stream,0,unique-stream,35,0.125
shasum,35,json-stable-stringify,35,0.5
unique-stream,35,json-stable-stringify,35,0.5
shell-quote,106,jsonify,35,0.25
json-stable-stringify,35,jsonify,35,1
glob-stream,0,to-absolute-glob,36,0.125
to-absolute-glob,36,extend-shallow,36,1
object.omit,39,is-extendable,36,0.5
extend-shallow,36,is-extendable,36,1
glob-stream,0,ordered-read-streams,0,0.125
ordered-read-streams,0,is-stream,0,0.5
anymatch,149,micromatch,0,0.5
findup-sync,0,micromatch,0,0.3333333333333333
glob-stream,0,micromatch,0,0.125
micromatch,0,regex-cache,37,0.07692307692307693
is-equal-shallow,37,is-primitive,37,1
regex-cache,37,is-primitive,37,0.5
regex-cache,37,is-equal-shallow,37,0.5
micromatch,0,parse-glob,0,0.07692307692307693
chokidar,0,is-glob,0,0.1111111111111111
findup-sync,0,is-glob,0,0.3333333333333333
micromatch,0,is-glob,0,0.07692307692307693
glob-parent,0,is-glob,0,1
glob-base,0,is-glob,0,0.5
parse-glob,0,is-glob,0,0.25
extglob,0,is-extglob,0,1
micromatch,0,is-extglob,0,0.07692307692307693
parse-glob,0,is-extglob,0,0.25
is-glob,0,is-extglob,0,1
parse-glob,0,is-dotfile,38,0.25
parse-glob,0,glob-base,0,0.25
chokidar,0,glob-parent,0,0.1111111111111111
glob-stream,0,glob-parent,0,0.125
glob-base,0,glob-parent,0,0.5
micromatch,0,object.omit,39,0.07692307692307693
object.omit,39,for-own,39,0.5
for-own,39,for-in,39,1
micromatch,0,normalize-path,40,0.07692307692307693
is-number,0,kind-of,0,1
randomatic,0,kind-of,0,0.5
micromatch,0,kind-of,0,0.07692307692307693
insert-module-globals,26,is-buffer,0,0.125
kind-of,0,is-buffer,0,1
micromatch,0,filename-regex,41,0.07692307692307693
micromatch,0,extglob,0,0.07692307692307693
micromatch,0,expand-brackets,42,0.07692307692307693
expand-brackets,42,is-posix-bracket,42,1
micromatch,0,braces,43,0.07692307692307693
fill-range,0,repeat-element,43,0.2
braces,43,repeat-element,43,0.3333333333333333
braces,43,preserve,44,0.3333333333333333
braces,43,expand-range,0,0.3333333333333333
expand-range,0,fill-range,0,1
fill-range,0,repeat-string,0,0.2
fill-range,0,randomatic,0,0.2
fill-range,0,is-number,0,0.2
randomatic,0,is-number,0,0.5
fill-range,0,isobject,0,0.2
micromatch,0,array-unique,45,0.07692307692307693
micromatch,0,arr-diff,46,0.07692307692307693
arr-diff,46,arr-flatten,46,1
grunt,0,glob,0,0.0625
rimraf,0,glob,0,1
yamljs,0,glob,0,0.5
browserify,0,glob,0,0.02127659574468085
glob-stream,0,glob,0,0.125
grunt,0,path-is-absolute,0,0.0625
chokidar,0,path-is-absolute,0,0.1111111111111111
glob,0,path-is-absolute,0,0.2
tar-pack,0,once,0,0.125
end-of-stream,0,once,0,1
inflight,0,once,0,0.5
glob,0,once,0,0.2
inflight,0,wrappy,0,0.5
once,0,wrappy,0,1
grunt,0,minimatch,0,0.0625
readdirp,0,minimatch,0,0.3333333333333333
fstream-ignore,0,minimatch,0,0.3333333333333333
glob,0,minimatch,0,0.2
minimatch,0,brace-expansion,0,1
brace-expansion,0,concat-map,0,0.5
brace-expansion,0,balanced-match,0,0.5
glob,0,inflight,0,0.2
request,2,extend,47,0.047619047619047616
liftoff,52,extend,47,0.2
glob-stream,0,extend,47,0.125
vinyl-fs,0,duplexify,0,0.058823529411764705
orchestrator,50,end-of-stream,0,0.3333333333333333
duplexify,0,end-of-stream,0,0.3333333333333333
gulp,0,v8flags,0,0.07692307692307693
v8flags,0,user-home,0,1
expand-tilde,0,os-homedir,0,1
tildify,0,os-homedir,0,1
user-home,0,os-homedir,0,1
gulp,0,tildify,0,0.07692307692307693
require_optional,48,semver,48,0.5
node-pre-gyp,0,semver,48,0.1111111111111111
pm2,6,semver,48,0.041666666666666664
normalize-package-data,68,semver,48,0.25
gulp,0,semver,48,0.07692307692307693
gulp,0,pretty-hrtime,49,0.07692307692307693
gulp,0,orchestrator,50,0.07692307692307693
orchestrator,50,stream-consume,50,0.3333333333333333
orchestrator,50,sequencify,51,0.3333333333333333
gulp,0,liftoff,52,0.07692307692307693
grunt-cli,156,resolve,52,0.25
browser-resolve,52,resolve,52,1
module-deps,0,resolve,52,0.07142857142857142
browserify,0,resolve,52,0.02127659574468085
rechoir,52,resolve,52,1
liftoff,52,resolve,52,0.2
liftoff,52,rechoir,52,0.2
liftoff,52,flagged-respawn,53,0.2
grunt,0,findup-sync,0,0.0625
grunt-cli,156,findup-sync,0,0.25
liftoff,52,findup-sync,0,0.2
findup-sync,0,resolve-dir,0,0.3333333333333333
resolve-dir,0,global-modules,0,0.5
is-absolute,153,is-windows,0,0.5
global-prefix,0,is-windows,0,1
global-modules,0,is-windows,0,0.5
global-modules,0,global-prefix,0,0.5
resolve-dir,0,expand-tilde,0,0.5
gulp,0,interpret,54,0.07692307692307693
gulp,0,gulp-util,0,0.07692307692307693
gulp-util,0,multipipe,0,0.05555555555555555
browserify,0,duplexer2,0,0.02127659574468085
module-deps,0,duplexer2,0,0.07142857142857142
stream-combiner2,0,duplexer2,0,0.5
multipipe,0,duplexer2,0,1
gulp-util,0,lodash.template,0,0.05555555555555555
lodash.pad,0,lodash.tostring,0,1
lodash.padend,0,lodash.tostring,0,1
lodash.padstart,0,lodash.tostring,0,1
lodash.escape,0,lodash.tostring,0,1
lodash.template,0,lodash.tostring,0,0.16666666666666666
lodash.template,0,lodash.templatesettings,0,0.16666666666666666
lodash.templatesettings,0,lodash.escape,0,0.5
gulp-util,0,lodash._reinterpolate,0,0.05555555555555555
lodash.template,0,lodash._reinterpolate,0,0.16666666666666666
lodash.templatesettings,0,lodash._reinterpolate,0,0.5
lodash.assigninwith,55,lodash.rest,55,0.5
lodash.template,0,lodash.rest,55,0.16666666666666666
lodash.template,0,lodash.assigninwith,55,0.16666666666666666
lodash.assigninwith,55,lodash.keysin,56,0.5
gulp-util,0,lodash._reevaluate,57,0.05555555555555555
gulp-util,0,lodash._reescape,58,0.05555555555555555
gulp-util,0,has-gulplog,59,0.05555555555555555
glogg,59,sparkles,59,1
has-gulplog,59,sparkles,59,1
gulp-util,0,gulplog,59,0.05555555555555555
gulplog,59,glogg,59,1
gulp-util,0,fancy-log,60,0.05555555555555555
fancy-log,60,time-stamp,60,0.5
pm2,6,chalk,61,0.041666666666666664
har-validator,93,chalk,61,0.3333333333333333
gulp,0,chalk,61,0.07692307692307693
gulp-util,0,chalk,61,0.05555555555555555
fancy-log,60,chalk,61,0.5
chalk,61,supports-color,61,0.2
supports-color,61,has-flag,61,1
chalk,61,strip-ansi,61,0.2
has-ansi,61,ansi-regex,61,1
strip-ansi,61,ansi-regex,61,1
chalk,61,has-ansi,61,0.2
chalk,61,escape-string-regexp,62,0.2
chalk,61,ansi-styles,63,0.2
grunt,0,dateformat,64,0.0625
gulp-util,0,dateformat,64,0.05555555555555555
dateformat,64,meow,64,0.5
meow,64,trim-newlines,65,0.1
meow,64,redent,64,0.1
redent,64,strip-indent,64,0.5
dateformat,64,get-stdin,64,0.5
strip-indent,64,get-stdin,64,1
redent,64,indent-string,66,0.5
indent-string,66,repeating,66,1
repeating,66,is-finite,66,1
is-finite,66,number-is-nan,66,1
meow,64,read-pkg-up,67,0.1
read-pkg-up,67,read-pkg,67,0.5
read-pkg,67,path-type,67,0.3333333333333333
path-exists,67,pinkie-promise,67,1
find-up,67,pinkie-promise,67,0.5
load-json-file,67,pinkie-promise,67,0.2
path-type,67,pinkie-promise,67,0.3333333333333333
pinkie-promise,67,pinkie,67,1
load-json-file,67,pify,67,0.2
path-type,67,pify,67,0.3333333333333333
meow,64,normalize-package-data,68,0.1
read-pkg,67,normalize-package-data,68,0.3333333333333333
normalize-package-data,68,validate-npm-package-license,69,0.25
validate-npm-package-license,69,spdx-expression-parse,69,0.5
spdx-correct,69,spdx-license-ids,69,1
spdx-expression-parse,69,spdx-license-ids,69,0.5
spdx-expression-parse,69,spdx-exceptions,69,0.5
validate-npm-package-license,69,spdx-correct,69,0.5
normalize-package-data,68,is-builtin-module,68,0.25
is-builtin-module,68,builtin-modules,68,1
normalize-package-data,68,hosted-git-info,70,0.25
read-pkg,67,load-json-file,67,0.3333333333333333
load-json-file,67,parse-json,67,0.2
parse-json,67,error-ex,67,1
error-ex,67,is-arrayish,67,1
read-pkg-up,67,find-up,67,0.5
find-up,67,path-exists,67,0.5
camelcase-keys,71,map-obj,71,0.5
meow,64,map-obj,71,0.1
meow,64,loud-rejection,72,0.1
loud-rejection,72,signal-exit,72,0.5
loud-rejection,72,array-find-index,73,0.5
meow,64,decamelize,64,0.1
meow,64,camelcase-keys,71,0.1
camelcase-keys,71,camelcase,71,0.5
gulp-util,0,beeper,74,0.05555555555555555
gulp-util,0,array-uniq,75,0.05555555555555555
